P,A
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
